Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;504500.000000;Hz
Freq Offset;0.000000;Hz
Span;991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;1000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;11.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
9000;-71.762451171875;-81.720603942871094
9495.5;-73.097198486328125;-81.639762878417969
9991;-73.306282043457031;-81.386192321777344
10486.5;-69.887702941894531;-85.81866455078125
10982;-73.836746215820313;-90.916084289550781
11477.5;-77.95684814453125;-95.247718811035156
11973;-78.105033874511719;-85.381423950195312
12468.5;-77.315994262695313;-90.113227844238281
12964;-77.508949279785156;-89.57177734375
13459.5;-78.052947998046875;-95.523330688476563
13955;-77.894660949707031;-96.494338989257813
14450.5;-78.879219055175781;-85.017738342285156
14946;-78.679107666015625;-92.27093505859375
15441.5;-77.14910888671875;-92.393409729003906
15937;-80.481658935546875;-90.83837890625
16432.5;-77.365653991699219;-88.399261474609375
16928;-76.400894165039063;-94.875076293945313
17423.5;-73.631629943847656;-93.808052062988281
17919;-73.687919616699219;-83.14959716796875
18414.5;-72.935234069824219;-84.626533508300781
18910;-73.511161804199219;-99.511909484863281
19405.5;-75.276802062988281;-84.494438171386719
19901;-72.047805786132813;-84.542869567871094
20396.5;-72.299018859863281;-94.650039672851563
20892;-77.597076416015625;-86.309661865234375
21387.5;-75.146453857421875;-89.858734130859375
21883;-73.725387573242188;-83.2650146484375
22378.5;-74.52520751953125;-85.070663452148438
22874;-76.04833984375;-87.683242797851563
23369.5;-78.230270385742188;-103.39901733398437
23865;-70.759674072265625;-87.09222412109375
24360.5;-78.936531066894531;-100.09896087646484
24856;-73.60125732421875;-87.161354064941406
25351.5;-71.160560607910156;-83.033340454101563
25847;-73.151985168457031;-86.922660827636719
26342.5;-78.418128967285156;-90.416236877441406
26838;-81.309341430664063;-91.1861572265625
27333.5;-72.594802856445313;-80.505165100097656
27829;-71.540679931640625;-82.05694580078125
28324.5;-73.240303039550781;-93.059005737304688
28820;-74.474555969238281;-80.367645263671875
29315.5;-76.6143798828125;-88.955368041992188
29811;-76.468551635742188;-108.36686706542969
30306.5;-78.593338012695313;-105.6815185546875
30802;-70.021484375;-81.305519104003906
31297.5;-75.155876159667969;-90.345573425292969
31793;-75.821693420410156;-85.442771911621094
32288.5;-78.87127685546875;-93.799995422363281
