Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;5004500.000000;Hz
Freq Offset;0.000000;Hz
Span;9991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;10000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;110.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
9000;-71.363288879394531;-103.73384094238281
13995.5;-73.851310729980469;-114.49590301513672
18991;-71.784149169921875;-99.653022766113281
23986.5;-73.891937255859375;-111.59207916259766
28982;-70.095062255859375;-110.61776733398437
33977.5;-66.444892883300781;-103.46005249023437
38973;-70.25537109375;-99.221336364746094
43968.5;-71.389495849609375;-95.971961975097656
48964;-71.361763000488281;-112.51417541503906
53959.5;-72.836601257324219;-113.58512115478516
58955;-60.968475341796875;-97.4947509765625
63950.5;-72.167831420898438;-101.41712951660156
68946;-62.702312469482422;-104.69546508789062
73941.5;-66.46270751953125;-126.15291595458984
78937;-70.555427551269531;-103.52152252197266
83932.5;-71.010246276855469;-101.03818511962891
88928;-74.763626098632812;-154.45236206054687
93923.5;-72.473617553710938;-100.80947113037109
98919;-72.839118957519531;-101.32083129882812
103914.5;-74.542304992675781;-109.1324462890625
108910;-74.242141723632812;-117.80219268798828
113905.5;-75.155876159667969;-107.9461669921875
118901;-69.574256896972656;-118.32877349853516
123896.5;-70.374320983886719;-108.04944610595703
128892;-56.58740234375;-101.35922241210937
133887.5;-57.037975311279297;-109.74180603027344
138883;-67.670303344726563;-105.32505035400391
143878.5;-75.537101745605469;-110.67380523681641
148874;-74.054267883300781;-116.8934326171875
153869.5;-72.922477722167969;-106.56333160400391
158865;-74.767227172851562;-107.98733520507812
163860.5;-73.265274047851562;-99.660926818847656
168856;-73.070487976074219;-118.46556091308594
173851.5;-72.012649536132813;-118.06149291992187
178847;-71.99822998046875;-102.58666229248047
183842.5;-68.346206665039063;-101.31125640869141
188838;-63.742443084716797;-105.35546875
193833.5;-63.424720764160156;-105.12985229492187
198829;-63.001796722412109;-104.49996185302734
203824.5;-64.799186706542969;-115.22394561767578
208820;-63.478076934814453;-104.14813995361328
213815.5;-69.742561340332031;-102.65338134765625
218811;-71.422523498535156;-105.08541870117187
223806.5;-71.407211303710938;-111.56089019775391
228802;-73.06011962890625;-105.32505035400391
233797.5;-71.90606689453125;-108.19613647460937
238793;-73.802017211914062;-110.90164947509766
243788.5;-71.30474853515625;-97.050155639648438
