Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;5004500.000000;Hz
Freq Offset;0.000000;Hz
Span;9991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;10000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;110.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
9000;-74.040596008300781;-101.92556762695312
13995.5;-73.419296264648437;-115.91522979736328
18991;-72.254730224609375;-103.38685607910156
23986.5;-70.988067626953125;-113.50686645507812
28982;-75.442153930664063;-104.39017486572266
33977.5;-73.172576904296875;-101.81336212158203
38973;-70.824653625488281;-107.14261627197266
43968.5;-69.666389465332031;-102.87959289550781
48964;-71.923255920410156;-109.32282257080078
53959.5;-72.082122802734375;-107.04951477050781
58955;-71.545333862304688;-104.86662292480469
63950.5;-65.361122131347656;-105.57147216796875
68946;-72.008056640625;-113.39080047607422
73941.5;-72.334335327148438;-105.79298400878906
78937;-72.422927856445313;-100.04092407226562
83932.5;-69.764808654785156;-99.373054504394531
88928;-73.527542114257813;-105.23441314697266
93923.5;-72.975440979003906;-104.92443084716797
98919;-73.771041870117187;-101.75276184082031
103914.5;-73.170326232910156;-99.274131774902344
108910;-72.692840576171875;-98.247726440429687
113905.5;-71.68505859375;-99.17633056640625
118901;-72.862602233886719;-114.67227172851562
123896.5;-70.193710327148438;-119.25901031494141
128892;-55.414409637451172;-103.26621246337891
133887.5;-55.026256561279297;-95.727127075195313
138883;-64.101333618164062;-101.26355743408203
143878.5;-71.258323669433594;-104.24147033691406
148874;-71.56182861328125;-101.85399627685547
153869.5;-75.240585327148438;-102.2818603515625
158865;-68.760597229003906;-100.07403564453125
163860.5;-70.754295349121094;-102.93708038330078
168856;-72.475349426269531;-106.28757476806641
173851.5;-70.299949645996094;-107.56452941894531
178847;-67.293106079101563;-105.18944549560547
183842.5;-67.785842895507812;-116.95114135742187
188838;-65.900703430175781;-104.09526062011719
193833.5;-55.200302124023437;-101.04746246337891
198829;-56.966678619384766;-97.507087707519531
203824.5;-61.358547210693359;-99.893417358398438
208820;-64.639579772949219;-97.525634765625
213815.5;-64.804481506347656;-108.51906585693359
218811;-71.425590515136719;-102.29256439208984
223806.5;-71.888916015625;-107.98733520507812
228802;-71.854072570800781;-118.12754058837891
233797.5;-71.888587951660156;-117.30571746826172
238793;-72.371856689453125;-104.90994262695312
243788.5;-72.283775329589844;-114.36594390869141
