s,CH1[V]
-5.588E-01,9.77E-01
-5.584E-01,-5.83E-01
-5.584E-01,3.37E-01
-5.580E-01,-1.10E+00
-5.580E-01,1.26E+00
-5.576E-01,-7.43E-01
-5.576E-01,1.14E+00
-5.572E-01,-5.83E-01
-5.572E-01,1.30E+00
-5.568E-01,-1.26E+00
-5.568E-01,1.16E+00
-5.564E-01,-7.43E-01
-5.564E-01,9.97E-01
-5.560E-01,-7.23E-01
-5.560E-01,1.24E+00
-5.556E-01,-1.24E+00
-5.556E-01,1.36E+00
-5.552E-01,-6.43E-01
-5.552E-01,5.57E-01
-5.548E-01,-8.23E-01
-5.548E-01,1.34E+00
-5.544E-01,-1.18E+00
-5.544E-01,1.30E+00
-5.540E-01,-1.28E+00
-5.540E-01,1.34E+00
-5.536E-01,-7.83E-01
-5.536E-01,1.16E+00
-5.532E-01,-1.24E+00
-5.532E-01,1.34E+00
-5.528E-01,-1.12E+00
-5.528E-01,6.77E-01
-5.524E-01,-5.83E-01
-5.524E-01,1.28E+00
-5.520E-01,-1.26E+00
-5.520E-01,1.28E+00
-5.516E-01,-7.03E-01
-5.516E-01,1.30E+00
-5.512E-01,-1.26E+00
-5.512E-01,1.24E+00
-5.508E-01,-1.16E+00
-5.508E-01,1.24E+00
-5.504E-01,-1.28E+00
-5.504E-01,1.16E+00
-5.500E-01,-1.02E+00
-5.500E-01,1.30E+00
-5.496E-01,-1.02E+00
-5.496E-01,1.20E+00
-5.492E-01,-1.24E+00
-5.492E-01,1.28E+00
-5.488E-01,-1.18E+00
-5.488E-01,1.26E+00
-5.484E-01,-8.23E-01
-5.484E-01,7.57E-01
-5.480E-01,-1.26E+00
-5.480E-01,1.14E+00
-5.476E-01,-1.18E+00
-5.476E-01,6.37E-01
-5.472E-01,-7.23E-01
-5.472E-01,9.57E-01
-5.468E-01,-1.24E+00
-5.468E-01,1.30E+00
-5.464E-01,-7.43E-01
-5.464E-01,1.32E+00
-5.460E-01,-7.03E-01
-5.460E-01,1.12E+00
-5.456E-01,-5.83E-01
-5.456E-01,9.17E-01
-5.452E-01,-1.26E+00
-5.452E-01,1.24E+00
-5.448E-01,-5.43E-01
-5.448E-01,1.26E+00
-5.444E-01,-1.22E+00
-5.444E-01,1.34E+00
-5.440E-01,-7.63E-01
-5.440E-01,1.30E+00
-5.436E-01,-1.24E+00
-5.436E-01,1.18E+00
-5.432E-01,-6.63E-01
-5.432E-01,1.28E+00
-5.428E-01,-6.03E-01
-5.428E-01,1.08E+00
-5.424E-01,-8.83E-01
-5.424E-01,1.12E+00
-5.420E-01,-5.63E-01
-5.420E-01,1.26E+00
-5.416E-01,-6.83E-01
-5.416E-01,1.14E+00
-5.412E-01,-7.63E-01
-5.412E-01,1.30E+00
-5.408E-01,-1.22E+00
-5.408E-01,1.32E+00
-5.404E-01,-1.20E+00
-5.404E-01,1.24E+00
-5.400E-01,-5.63E-01
-5.400E-01,1.32E+00
-5.396E-01,-1.26E+00
-5.396E-01,1.26E+00
-5.392E-01,-1.24E+00
-5.392E-01,1.08E+00
-5.388E-01,-1.24E+00
-5.388E-01,9.37E-01
-5.384E-01,-1.16E+00
-5.384E-01,1.24E+00
-5.380E-01,-1.06E+00
-5.380E-01,1.26E+00
-5.376E-01,-1.24E+00
-5.376E-01,1.10E+00
-5.372E-01,-1.24E+00
-5.372E-01,1.24E+00
-5.368E-01,-1.24E+00
-5.368E-01,1.26E+00
-5.364E-01,-1.18E+00
-5.364E-01,1.14E+00
-5.360E-01,-1.24E+00
-5.360E-01,9.77E-01
-5.356E-01,-1.26E+00
-5.356E-01,1.16E+00
-5.352E-01,-1.22E+00
-5.352E-01,1.36E+00
-5.348E-01,-7.83E-01
-5.348E-01,1.24E+00
-5.344E-01,-1.26E+00
-5.344E-01,9.37E-01
-5.340E-01,-1.24E+00
-5.340E-01,1.26E+00
-5.336E-01,-1.26E+00
-5.336E-01,1.24E+00
-5.332E-01,-6.23E-01
-5.332E-01,1.10E+00
-5.328E-01,-1.12E+00
-5.328E-01,1.30E+00
-5.324E-01,-7.23E-01
-5.324E-01,8.37E-01
-5.320E-01,-1.26E+00
-5.320E-01,1.08E+00
-5.316E-01,-8.03E-01
-5.316E-01,1.08E+00
-5.312E-01,-1.14E+00
-5.312E-01,1.12E+00
-5.308E-01,-1.28E+00
-5.308E-01,1.12E+00
-5.304E-01,-6.83E-01
-5.304E-01,1.24E+00
-5.300E-01,-1.18E+00
-5.300E-01,8.57E-01
-5.296E-01,-1.24E+00
-5.296E-01,1.22E+00
-5.292E-01,-1.22E+00
-5.292E-01,5.57E-01
-5.288E-01,-1.22E+00
-5.288E-01,1.24E+00
-5.284E-01,-1.26E+00
-5.284E-01,1.10E+00
-5.280E-01,-7.63E-01
-5.280E-01,1.24E+00
-5.276E-01,-8.23E-01
-5.276E-01,1.22E+00
-5.272E-01,-7.83E-01
-5.272E-01,1.24E+00
-5.268E-01,-8.83E-01
-5.268E-01,1.18E+00
-5.264E-01,-8.03E-01
-5.264E-01,5.17E-01
-5.260E-01,-7.23E-01
-5.260E-01,1.34E+00
-5.256E-01,-8.83E-01
-5.256E-01,1.32E+00
-5.252E-01,-1.24E+00
-5.252E-01,1.24E+00
-5.248E-01,-1.18E+00
-5.248E-01,5.17E-01
-5.244E-01,-1.26E+00
-5.244E-01,1.24E+00
-5.240E-01,-6.63E-01
-5.240E-01,8.37E-01
-5.236E-01,-1.12E+00
-5.236E-01,1.36E+00
-5.232E-01,-1.20E+00
-5.232E-01,9.37E-01
-5.228E-01,-6.03E-01
-5.228E-01,1.22E+00
-5.224E-01,-7.23E-01
-5.224E-01,1.10E+00
-5.220E-01,-1.10E+00
-5.220E-01,1.34E+00
-5.216E-01,-9.63E-01
-5.216E-01,1.10E+00
-5.212E-01,-6.63E-01
-5.212E-01,1.26E+00
-5.208E-01,-9.63E-01
-5.208E-01,1.28E+00
-5.204E-01,-1.24E+00
-5.204E-01,1.28E+00
-5.200E-01,-1.24E+00
-5.200E-01,4.57E-01
-5.196E-01,-7.63E-01
-5.196E-01,3.17E-01
-5.192E-01,-7.63E-01
-5.192E-01,7.97E-01
-5.188E-01,-1.16E+00
-5.188E-01,1.26E+00
-5.184E-01,-1.22E+00
-5.184E-01,1.20E+00
-5.180E-01,-1.10E+00
-5.180E-01,6.57E-01
-5.176E-01,-1.28E+00
-5.176E-01,1.12E+00
-5.172E-01,-1.18E+00
-5.172E-01,1.32E+00
-5.168E-01,-9.63E-01
-5.168E-01,8.57E-01
-5.164E-01,-4.83E-01
-5.164E-01,6.77E-01
-5.160E-01,-6.23E-01
-5.160E-01,1.28E+00
-5.156E-01,-7.83E-01
-5.156E-01,1.26E+00
-5.152E-01,-1.00E+00
-5.152E-01,7.77E-01
-5.148E-01,-9.03E-01
-5.148E-01,1.14E+00
-5.144E-01,-9.23E-01
-5.144E-01,1.22E+00
-5.140E-01,-1.10E+00
-5.140E-01,1.06E+00
-5.136E-01,-1.26E+00
-5.136E-01,1.26E+00
-5.132E-01,-5.83E-01
-5.132E-01,1.14E+00
-5.128E-01,-1.28E+00
-5.128E-01,1.14E+00
-5.124E-01,-1.24E+00
-5.124E-01,7.97E-01
-5.120E-01,-5.83E-01
-5.120E-01,1.32E+00
-5.116E-01,-9.23E-01
-5.116E-01,1.10E+00
-5.112E-01,-7.43E-01
-5.112E-01,1.34E+00
-5.108E-01,-5.83E-01
-5.108E-01,1.10E+00
-5.104E-01,-1.26E+00
-5.104E-01,1.32E+00
-5.100E-01,-5.83E-01
-5.100E-01,1.04E+00
-5.096E-01,-1.24E+00
-5.096E-01,7.77E-01
-5.092E-01,-6.03E-01
-5.092E-01,1.12E+00
-5.088E-01,-1.10E+00
-5.088E-01,1.10E+00
-5.084E-01,-1.24E+00
-5.084E-01,7.57E-01
-5.080E-01,-1.26E+00
-5.080E-01,1.26E+00
-5.076E-01,-8.23E-01
-5.076E-01,9.77E-01
-5.072E-01,-1.14E+00
-5.072E-01,1.32E+00
-5.068E-01,-1.26E+00
-5.068E-01,1.24E+00
-5.064E-01,-5.83E-01
-5.064E-01,8.77E-01
-5.060E-01,-6.43E-01
-5.060E-01,1.24E+00
-5.056E-01,-1.14E+00
-5.056E-01,1.26E+00
-5.052E-01,-1.06E+00
-5.052E-01,5.57E-01
-5.048E-01,-1.20E+00
-5.048E-01,1.24E+00
-5.044E-01,-9.23E-01
-5.044E-01,7.97E-01
-5.040E-01,-1.06E+00
-5.040E-01,8.97E-01
-5.036E-01,-1.00E+00
-5.036E-01,1.32E+00
-5.032E-01,-1.24E+00
-5.032E-01,1.28E+00
-5.028E-01,-6.43E-01
-5.028E-01,1.32E+00
-5.024E-01,-6.03E-01
-5.024E-01,1.36E+00
-5.020E-01,-9.63E-01
-5.020E-01,1.26E+00
-5.016E-01,-1.16E+00
-5.016E-01,1.12E+00
-5.012E-01,-1.14E+00
-5.012E-01,1.26E+00
-5.008E-01,-8.63E-01
-5.008E-01,1.12E+00
-5.004E-01,-6.83E-01
-5.004E-01,1.26E+00
-5.000E-01,-1.04E+00
-5.000E-01,1.26E+00
-4.996E-01,-8.83E-01
-4.996E-01,1.26E+00
-4.992E-01,-4.63E-01
-4.992E-01,1.28E+00
-4.988E-01,-7.03E-01
-4.988E-01,1.34E+00
-4.984E-01,-6.83E-01
-4.984E-01,1.28E+00
-4.980E-01,-5.63E-01
-4.980E-01,1.32E+00
-4.976E-01,-7.23E-01
-4.976E-01,9.57E-01
-4.972E-01,-1.26E+00
-4.972E-01,1.14E+00
-4.968E-01,-1.24E+00
-4.968E-01,9.77E-01
-4.964E-01,-6.43E-01
-4.964E-01,1.32E+00
-4.960E-01,-1.24E+00
-4.960E-01,1.24E+00
-4.956E-01,-1.22E+00
-4.956E-01,1.16E+00
-4.952E-01,-4.43E-01
-4.952E-01,1.28E+00
-4.948E-01,-5.23E-01
-4.948E-01,9.77E-01
-4.944E-01,-5.83E-01
-4.944E-01,1.30E+00
-4.940E-01,-9.63E-01
-4.940E-01,1.26E+00
-4.936E-01,-1.10E+00
-4.936E-01,1.24E+00
-4.932E-01,-7.03E-01
-4.932E-01,1.28E+00
-4.928E-01,-1.10E+00
-4.928E-01,1.24E+00
-4.924E-01,-7.23E-01
-4.924E-01,1.24E+00
-4.920E-01,-1.18E+00
-4.920E-01,1.06E+00
-4.916E-01,-7.43E-01
-4.916E-01,1.28E+00
-4.912E-01,-5.43E-01
-4.912E-01,1.24E+00
-4.908E-01,-1.26E+00
-4.908E-01,1.26E+00
-4.904E-01,-7.23E-01
-4.904E-01,1.26E+00
-4.900E-01,-1.26E+00
-4.900E-01,1.28E+00
-4.896E-01,-1.26E+00
-4.896E-01,1.10E+00
-4.892E-01,-1.12E+00
-4.892E-01,8.77E-01
-4.888E-01,-1.22E+00
-4.888E-01,1.06E+00
-4.884E-01,-1.18E+00
-4.884E-01,6.97E-01
-4.880E-01,-5.83E-01
-4.880E-01,4.97E-01
-4.876E-01,-7.03E-01
-4.876E-01,1.06E+00
-4.872E-01,-7.23E-01
-4.872E-01,1.12E+00
-4.868E-01,-1.18E+00
-4.868E-01,5.97E-01
-4.864E-01,-1.20E+00
-4.864E-01,1.26E+00
-4.860E-01,-1.24E+00
-4.860E-01,1.12E+00
-4.856E-01,-1.20E+00
-4.856E-01,1.30E+00
-4.852E-01,-1.08E+00
-4.852E-01,1.24E+00
-4.848E-01,-7.83E-01
-4.848E-01,1.30E+00
-4.844E-01,-1.26E+00
-4.844E-01,9.57E-01
-4.840E-01,-6.03E-01
-4.840E-01,1.28E+00
-4.836E-01,-1.14E+00
-4.836E-01,8.77E-01
-4.832E-01,-1.24E+00
-4.832E-01,1.32E+00
-4.828E-01,-1.22E+00
-4.828E-01,1.16E+00
-4.824E-01,-1.18E+00
-4.824E-01,1.04E+00
-4.820E-01,-6.63E-01
-4.820E-01,1.28E+00
-4.816E-01,-5.83E-01
-4.816E-01,6.97E-01
-4.812E-01,-1.02E+00
-4.812E-01,1.26E+00
-4.808E-01,-1.26E+00
-4.808E-01,1.32E+00
-4.804E-01,-1.00E+00
-4.804E-01,1.12E+00
-4.800E-01,-1.00E+00
-4.800E-01,1.26E+00
-4.796E-01,-8.23E-01
-4.796E-01,1.18E+00
-4.792E-01,-1.22E+00
-4.792E-01,1.24E+00
-4.788E-01,-6.63E-01
-4.788E-01,1.10E+00
-4.784E-01,-1.24E+00
-4.784E-01,1.10E+00
-4.780E-01,-4.63E-01
-4.780E-01,8.97E-01
-4.776E-01,-6.63E-01
-4.776E-01,1.30E+00
-4.772E-01,-8.83E-01
-4.772E-01,1.14E+00
-4.768E-01,-1.24E+00
-4.768E-01,5.57E-01
-4.764E-01,-7.63E-01
-4.764E-01,1.28E+00
-4.760E-01,-1.12E+00
-4.760E-01,1.32E+00
-4.756E-01,-8.63E-01
-4.756E-01,1.08E+00
-4.752E-01,-1.06E+00
-4.752E-01,1.12E+00
-4.748E-01,-9.03E-01
-4.748E-01,1.26E+00
-4.744E-01,-7.23E-01
-4.744E-01,9.37E-01
-4.740E-01,-1.04E+00
-4.740E-01,5.97E-01
-4.736E-01,-1.24E+00
-4.736E-01,1.24E+00
-4.732E-01,-1.14E+00
-4.732E-01,7.17E-01
-4.728E-01,-9.03E-01
-4.728E-01,3.17E-01
-4.724E-01,-9.43E-01
-4.724E-01,1.26E+00
-4.720E-01,-1.20E+00
-4.720E-01,1.34E+00
-4.716E-01,-1.24E+00
-4.716E-01,1.06E+00
-4.712E-01,-1.16E+00
-4.712E-01,1.26E+00
-4.708E-01,-1.24E+00
-4.708E-01,1.32E+00
-4.704E-01,-9.03E-01
-4.704E-01,1.26E+00
-4.700E-01,-9.03E-01
-4.700E-01,1.12E+00
-4.696E-01,-1.24E+00
-4.696E-01,1.28E+00
-4.692E-01,-1.04E+00
-4.692E-01,7.77E-01
-4.688E-01,-5.63E-01
-4.688E-01,7.97E-01
-4.684E-01,-1.12E+00
-4.684E-01,1.26E+00
-4.680E-01,-7.83E-01
-4.680E-01,3.17E-01
-4.676E-01,-1.16E+00
-4.676E-01,1.24E+00
-4.672E-01,-1.22E+00
-4.672E-01,8.97E-01
-4.668E-01,-1.26E+00
-4.668E-01,5.57E-01
-4.664E-01,-8.43E-01
-4.664E-01,1.34E+00
-4.660E-01,-1.18E+00
-4.660E-01,1.20E+00
-4.656E-01,-1.24E+00
-4.656E-01,1.24E+00
-4.652E-01,-1.22E+00
-4.652E-01,5.57E-01
-4.648E-01,-5.83E-01
-4.648E-01,1.24E+00
-4.644E-01,-1.16E+00
-4.644E-01,1.20E+00
-4.640E-01,-1.24E+00
-4.640E-01,9.57E-01
-4.636E-01,-1.18E+00
-4.636E-01,1.14E+00
-4.632E-01,-1.16E+00
-4.632E-01,8.77E-01
-4.628E-01,-1.16E+00
-4.628E-01,8.97E-01
-4.624E-01,-1.22E+00
-4.624E-01,1.12E+00
-4.620E-01,-1.26E+00
-4.620E-01,1.24E+00
-4.616E-01,-1.14E+00
-4.616E-01,1.28E+00
-4.612E-01,-5.63E-01
-4.612E-01,1.32E+00
-4.608E-01,-1.28E+00
-4.608E-01,1.24E+00
-4.604E-01,-1.06E+00
-4.604E-01,1.08E+00
-4.600E-01,-7.63E-01
-4.600E-01,1.14E+00
-4.596E-01,-6.43E-01
-4.596E-01,1.24E+00
-4.592E-01,-7.83E-01
-4.592E-01,6.37E-01
-4.588E-01,-1.20E+00
-4.588E-01,9.77E-01
-4.584E-01,-1.20E+00
-4.584E-01,9.77E-01
-4.580E-01,-7.63E-01
-4.580E-01,1.16E+00
-4.576E-01,-5.43E-01
