s,CH1[V]
-5.996E-01,-9.21E-02
-5.996E-01,7.91E-03
-5.992E-01,-1.21E-02
-5.992E-01,2.39E-02
-5.988E-01,-8.09E-03
-5.988E-01,5.99E-02
-5.984E-01,-1.08E-01
-5.984E-01,6.79E-02
-5.980E-01,-9.21E-02
-5.980E-01,3.91E-03
-5.976E-01,-1.20E-01
-5.976E-01,1.59E-02
-5.972E-01,-2.01E-02
-5.972E-01,1.48E-01
-5.968E-01,-1.04E-01
-5.968E-01,3.99E-02
-5.964E-01,-1.21E-02
-5.964E-01,1.19E-02
-5.960E-01,-9.61E-02
-5.960E-01,4.79E-02
-5.956E-01,-1.16E-01
-5.956E-01,3.59E-02
-5.952E-01,-1.48E-01
-5.952E-01,7.91E-03
-5.948E-01,-1.21E-02
-5.948E-01,1.99E-02
-5.944E-01,-4.41E-02
-5.944E-01,7.91E-03
-5.940E-01,-1.32E-01
-5.940E-01,5.19E-02
-5.936E-01,-8.09E-03
-5.936E-01,3.99E-02
-5.932E-01,-1.28E-01
-5.932E-01,3.19E-02
-5.928E-01,-8.09E-03
-5.928E-01,1.19E-02
-5.924E-01,-8.81E-02
-5.924E-01,7.91E-03
-5.920E-01,-1.40E-01
-5.920E-01,4.79E-02
-5.916E-01,-1.21E-02
-5.916E-01,3.91E-03
-5.912E-01,-4.01E-02
-5.912E-01,3.19E-02
-5.908E-01,-8.09E-03
-5.908E-01,1.16E-01
-5.904E-01,-1.44E-01
-5.904E-01,3.19E-02
-5.900E-01,-8.09E-03
-5.900E-01,1.19E-02
-5.896E-01,-3.61E-02
-5.896E-01,1.19E-02
-5.892E-01,-3.61E-02
-5.892E-01,9.59E-02
-5.888E-01,-6.81E-02
-5.888E-01,3.19E-02
-5.884E-01,-3.21E-02
-5.884E-01,4.79E-02
-5.880E-01,-2.01E-02
-5.880E-01,3.19E-02
-5.876E-01,-1.12E-01
-5.876E-01,1.59E-02
-5.872E-01,-3.61E-02
-5.872E-01,7.19E-02
-5.868E-01,-1.61E-02
-5.868E-01,1.99E-02
-5.864E-01,-8.81E-02
-5.864E-01,6.79E-02
-5.860E-01,-2.01E-02
-5.860E-01,3.19E-02
-5.856E-01,-1.21E-02
-5.856E-01,1.20E-01
-5.852E-01,-1.61E-02
-5.852E-01,2.39E-02
-5.848E-01,-8.09E-03
-5.848E-01,1.64E-01
-5.844E-01,-1.36E-01
-5.844E-01,1.99E-02
-5.840E-01,-1.40E-01
-5.840E-01,3.91E-03
-5.836E-01,-3.61E-02
-5.836E-01,7.19E-02
-5.832E-01,-3.61E-02
-5.832E-01,1.24E-01
-5.828E-01,-1.36E-01
-5.828E-01,5.19E-02
-5.824E-01,-2.41E-02
-5.824E-01,2.39E-02
-5.820E-01,-2.41E-02
-5.820E-01,1.19E-02
-5.816E-01,-8.09E-03
-5.816E-01,1.19E-02
-5.812E-01,-1.36E-01
-5.812E-01,4.39E-02
-5.808E-01,-2.41E-02
-5.808E-01,1.99E-02
-5.804E-01,-8.81E-02
-5.804E-01,1.19E-02
-5.800E-01,-8.41E-02
-5.800E-01,1.99E-02
-5.796E-01,-2.01E-02
