Type;ZVL-3;
Version;3.31;
Date;23.May 25;
Mode;ANALYZER;
Center Freq;5004500.000000;Hz
Freq Offset;0.000000;Hz
Span;9991000.000000;Hz
x-Axis;LIN;
Start;9000.000000;Hz
Stop;10000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;0.000000;dB
RBW;300.000000;Hz
VBW;1000.000000;Hz
SWT;110.000000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
Values;2001;
9000;-73.817344665527344;-109.71659088134766
13995.5;-74.116714477539062;-99.708518981933594
18991;-72.073204040527344;-104.58320617675781
23986.5;-73.954864501953125;-94.513381958007813
28982;-70.54461669921875;-109.10894012451172
33977.5;-71.040687561035156;-105.55587005615234
38973;-73.395416259765625;-96.69439697265625
43968.5;-72.338424682617188;-101.15013885498047
48964;-72.269577026367188;-110.28892517089844
53959.5;-72.107276916503906;-95.737190246582031
58955;-73.087539672851562;-103.848388671875
63950.5;-65.764511108398438;-109.17965698242187
68946;-64.229019165039062;-107.312744140625
73941.5;-71.022819519042969;-107.90519714355469
78937;-71.06829833984375;-99.942306518554687
83932.5;-73.878509521484375;-102.43291473388672
88928;-74.648262023925781;-99.388381958007813
93923.5;-74.775337219238281;-106.20315551757812
98919;-74.422027587890625;-102.66455841064453
103914.5;-75.122970581054687;-110.53437805175781
108910;-72.03662109375;-116.83609771728516
113905.5;-74.921257019042969;-99.266571044921875
118901;-73.454063415527344;-109.59160614013672
123896.5;-73.8072509765625;-116.6104736328125
128892;-55.483432769775391;-113.82420349121094
133887.5;-53.871356964111328;-105.27960968017578
138883;-62.542671203613281;-95.281089782714844
143878.5;-72.023139953613281;-108.02869415283203
148874;-70.267974853515625;-109.20335388183594
153869.5;-73.681159973144531;-98.140815734863281
158865;-71.871147155761719;-113.50686645507812
163860.5;-72.602874755859375;-110.28892517089844
168856;-70.019393920898438;-109.5421142578125
173851.5;-70.597122192382813;-96.538398742675781
178847;-66.482460021972656;-116.55497741699219
183842.5;-57.916954040527344;-94.752830505371094
188838;-57.303668975830078;-96.245216369628906
193833.5;-69.64837646484375;-106.00385284423828
198829;-68.574073791503906;-109.22711944580078
203824.5;-65.440467834472656;-97.138450622558594
208820;-55.961204528808594;-99.764373779296875
213815.5;-62.787265777587891;-106.33861541748047
218811;-67.839836120605469;-102.21791076660156
223806.5;-68.595954895019531;-86.935447692871094
228802;-70.362098693847656;-98.810089111328125
233797.5;-70.421424865722656;-119.88529205322266
238793;-70.708160400390625;-107.14261627197266
243788.5;-71.057708740234375;-101.62289428710937
